0.0,20.0
0.25,20.0
0.5,20.0
0.75,20.0
1.0,20.0
1.25,20.0
1.5,20.0
1.75,20.0
2.0,20.0
2.25,20.0
2.5,20.0
2.75,20.0
3.0,20.0
3.25,20.0
3.5,20.0
3.75,20.0
4.0,20.0
4.25,20.0
4.5,20.0
4.75,20.0
5.0,20.0
5.25,25.0
5.5,30.0
5.75,35.0
6.0,40.0
6.25,45.0
6.5,50.0
6.75,55.0
7.0,60.0
7.25,65.0
7.5,70.0
7.75,75.0
8.0,80.0
8.25,85.0
8.5,90.0
8.75,95.0
9.0,100.0
9.25,105.0
9.5,110.0
9.75,115.0
10.0,120.0
10.25,120.0
10.5,120.0
10.75,120.0
11.0,120.0
11.25,120.0
11.5,120.0
11.75,120.0
12.0,120.0
12.25,120.0
12.5,120.0
12.75,120.0
13.0,120.0
13.25,120.0
13.5,120.0
13.75,120.0
14.0,115.0
14.25,110.0
14.5,105.0
14.75,100.0
15.0,95.0
15.25,90.0
15.5,85.0
15.75,80.0
16.0,75.0
16.25,70.0
16.5,65.0
16.75,60.0
17.0,55.0
17.25,50.0
17.5,45.0
17.75,40.0
18.0,35.0
18.25,30.0
18.5,25.0
18.75,20.0
19.0,20.0
19.25,20.0
19.5,20.0
19.75,20.0
20.0,20.0
20.25,20.0
20.5,20.0
20.75,20.0
21.0,20.0
21.25,20.0
21.5,20.0
21.75,20.0
22.0,20.0
22.25,20.0
22.5,20.0
22.75,20.0
23.0,20.0
23.25,20.0
23.5,20.0
23.75,20.0
24.0,20.0
